id,input_len,output_len,status,ttft_ms,tpot_ms,e2e_ms,decode_throughput_tps,n_generated,error
0,6637,216,OK,203.734,5.058,1291.308,198.61,216,
1,5662,135,OK,167.943,4.992,836.83,201.83,135,
2,6863,173,OK,206.699,5.058,1076.681,198.85,173,
3,5501,127,OK,166.176,4.994,795.473,201.81,127,
4,4689,275,OK,156.032,4.966,1516.691,202.11,275,
5,42,3824,OK,6.206,4.855,18566.311,206.03,3824,
6,2037,173,OK,36.022,4.862,872.295,206.87,173,
7,3429,247,OK,78.564,4.959,1298.485,202.47,247,
8,6556,522,OK,201.677,5.071,2843.617,197.58,522,
9,4725,228,OK,156.852,5.026,1297.827,199.83,228,
10,6669,70,OK,203.714,5.149,558.964,197.04,70,
11,2671,353,OK,72.218,4.955,1816.386,202.39,353,
12,3023,77,OK,75.027,4.919,448.844,205.98,77,
13,4193,269,OK,150.397,4.987,1486.794,201.29,269,
14,5877,162,OK,171.06,5.013,978.17,200.72,162,
15,1903,53,OK,35.342,4.812,285.542,211.83,53,
16,4788,428,OK,157.437,4.98,2284.045,201.26,428,
17,4256,346,OK,151.019,5.016,1881.416,199.95,346,
18,6351,352,OK,198.455,5.128,1998.262,195.58,352,
19,6653,257,OK,203.367,5.072,1501.767,197.94,257,
20,2206,171,OK,68.495,4.882,898.367,206.06,171,
21,7301,243,OK,214.202,5.084,1444.442,197.52,243,
22,6442,217,OK,200.329,5.04,1289.064,199.31,217,
23,5627,125,OK,167.811,4.985,785.959,202.22,125,
24,6040,260,OK,172.718,5.03,1475.585,199.56,260,
25,4481,103,OK,153.654,4.998,663.443,202.04,103,
26,2775,244,OK,72.868,4.881,1258.963,205.72,244,
27,7649,298,OK,219.87,5.06,1722.801,198.28,298,
28,5014,261,OK,160.106,4.954,1448.223,202.62,261,
29,4013,134,OK,83.354,4.935,739.753,204.14,134,
30,2486,67,OK,70.688,4.873,392.287,208.33,67,
31,6509,306,OK,201.037,5.07,1747.443,197.88,306,
32,4542,125,OK,154.312,5.047,780.169,199.73,125,
33,5711,205,OK,168.516,5.056,1199.963,198.75,205,
34,6445,245,OK,200.152,5.052,1432.829,198.75,245,
35,948,69,OK,18.913,4.808,345.837,211.06,69,
36,6278,213,OK,197.226,5.091,1276.439,197.37,213,
37,6811,504,OK,205.946,5.084,2763.077,197.1,504,
38,6305,170,OK,198.344,5.092,1058.85,197.56,170,
39,5040,218,OK,160.627,4.99,1243.37,201.34,218,
40,3420,134,OK,78.3,4.922,732.944,204.69,134,
41,7174,406,OK,211.988,5.093,2274.612,196.84,406,
42,5678,303,OK,168.531,5.031,1687.756,199.44,303,
43,5765,103,OK,169.429,5.023,681.802,201.03,103,
44,4274,318,OK,151.383,4.99,1733.224,201.03,318,
45,4437,194,OK,153.138,4.992,1116.643,201.35,194,
46,6038,160,OK,172.689,5.036,973.41,199.82,160,
47,5201,65,OK,162.427,5.017,483.517,202.44,65,
48,4402,218,OK,152.811,4.996,1236.881,201.09,218,
49,2995,100,OK,74.834,4.898,559.697,206.24,100,
