id,input_len,output_len,status,ttft_ms,tpot_ms,e2e_ms,decode_throughput_tps,n_generated,error
0,2011,34,OK,35.726,4.855,195.928,212.23,34,
1,1036,84,OK,31.497,4.808,430.526,210.51,84,
2,658,51,OK,17.661,4.794,257.374,212.75,51,
3,604,111,OK,17.468,4.795,544.868,210.47,111,
4,479,68,OK,11.112,4.788,331.905,211.97,68,
5,2480,56,OK,70.684,4.867,338.393,209.18,56,
6,217,30,OK,7.454,4.765,145.645,217.09,30,
7,1369,98,OK,32.783,4.806,498.972,210.22,98,
8,318,71,OK,10.684,4.769,344.51,212.69,71,
9,1089,56,OK,31.769,4.799,295.739,212.15,56,
10,438,55,OK,11.032,4.777,269.008,213.2,55,
11,1076,83,OK,31.737,4.824,427.327,209.81,83,
12,878,54,OK,18.618,4.862,276.323,209.54,54,
13,2243,114,OK,68.742,4.962,629.395,203.33,114,
14,672,66,OK,17.637,4.858,333.402,209.02,66,
15,378,41,OK,10.832,4.831,204.059,212.19,41,
16,1072,138,OK,31.698,4.886,701.061,206.17,138,
17,616,56,OK,17.561,4.798,281.459,212.2,56,
18,1833,57,OK,34.817,4.833,305.46,210.61,57,
19,1079,181,OK,31.599,4.791,894.018,209.87,181,
20,413,75,OK,10.949,4.766,363.624,212.66,75,
21,555,51,OK,17.339,4.78,256.339,213.39,51,
22,1254,72,OK,32.487,4.806,373.748,210.98,72,
23,1568,80,OK,33.673,4.845,416.418,209.02,80,
24,994,42,OK,19.052,4.831,217.105,212.07,42,
25,650,80,OK,17.562,4.816,398.023,210.27,80,
26,814,53,OK,18.503,4.786,267.391,212.95,53,
27,970,61,OK,18.907,4.789,306.266,212.28,61,
28,414,61,OK,10.89,4.796,298.661,211.97,61,
29,817,76,OK,18.411,4.815,379.534,210.45,76,
30,1068,96,OK,31.708,4.822,489.844,209.54,96,
31,1044,73,OK,31.622,4.82,378.665,210.35,73,
32,807,70,OK,18.639,4.782,348.582,212.16,70,
33,1379,66,OK,33.079,4.814,346.006,210.91,66,
34,1148,46,OK,32.064,4.818,248.883,212.16,46,
35,599,53,OK,17.486,4.777,265.905,213.35,53,
36,533,47,OK,17.011,4.778,236.799,213.84,47,
37,538,64,OK,17.025,4.794,319.047,211.91,64,
38,647,54,OK,17.6,4.81,272.504,211.84,54,
39,744,34,OK,17.998,4.792,176.139,215.0,34,
40,1201,68,OK,32.278,4.82,355.197,210.58,68,
41,2113,52,OK,67.787,4.903,317.822,207.97,52,
42,536,49,OK,17.141,4.789,247.0,213.17,49,
43,905,52,OK,18.575,4.806,263.705,212.13,52,
44,1168,75,OK,32.058,4.816,388.453,210.44,75,
45,1038,75,OK,31.507,4.823,388.397,210.15,75,
46,812,69,OK,18.283,4.819,345.971,210.57,69,
47,754,69,OK,18.007,4.78,343.022,212.3,69,
48,494,73,OK,11.267,4.784,355.749,211.91,73,
49,1827,89,OK,34.781,4.857,462.163,208.24,89,
