layer_name,input,kv_cache,tp_size,latency(ns)
act_fn,1,768,1,97750
down_proj,1,768,1,48410
final_layernorm,1,768,1,134860
lm_head,1,768,1,57540
input_layernorm,1,1024,1,145920
rope,1,1024,1,0
embedding,1,1024,1,36540
q_proj,1,1024,1,55970
k_proj,1,1024,1,44190
v_proj,1,1024,1,41450
attn,1,1024,1,1112960
o_proj,1,1024,1,53810
post_layernorm,1,1024,1,138590
gate_proj,1,1024,1,52940
up_proj,1,1024,1,44680
act_fn,1,1024,1,91590
down_proj,1,1024,1,48980
final_layernorm,1,1024,1,134710
lm_head,1,1024,1,57480
input_layernorm,1,1280,1,139540
rope,1,1280,1,0
embedding,1,1280,1,36810
q_proj,1,1280,1,55910
k_proj,1,1280,1,44110
v_proj,1,1280,1,41650
attn,1,1280,1,1123449
o_proj,1,1280,1,57370
post_layernorm,1,1280,1,138510
gate_proj,1,1280,1,52730
up_proj,1,1280,1,43850
act_fn,1,1280,1,89080
down_proj,1,1280,1,47260
final_layernorm,1,1280,1,130920
lm_head,1,1280,1,57891
input_layernorm,1,1536,1,162570
rope,1,1536,1,0
embedding,1,1536,1,42120
q_proj,1,1536,1,63650
k_proj,1,1536,1,45410
v_proj,1,1536,1,42050
attn,1,1536,1,1130050
o_proj,1,1536,1,54630
post_layernorm,1,1536,1,139950
gate_proj,1,1536,1,53180
up_proj,1,1536,1,47190
act_fn,1,1536,1,91190
down_proj,1,1536,1,49000
final_layernorm,1,1536,1,133030
lm_head,1,1536,1,57720
input_layernorm,1,1792,1,139910
rope,1,1792,1,0
embedding,1,1792,1,38020
q_proj,1,1792,1,56260
k_proj,1,1792,1,46170
v_proj,1,1792,1,41400
attn,1,1792,1,1134860
o_proj,1,1792,1,54600
post_layernorm,1,1792,1,139290
gate_proj,1,1792,1,53050
up_proj,1,1792,1,46120
act_fn,1,1792,1,93320
down_proj,1,1792,1,47740
final_layernorm,1,1792,1,141800
lm_head,1,1792,1,57430
input_layernorm,1,2048,1,141170
rope,1,2048,1,0
embedding,1,2048,1,37450
q_proj,1,2048,1,55340
k_proj,1,2048,1,44590
v_proj,1,2048,1,41760
attn,1,2048,1,1160830
o_proj,1,2048,1,55120
post_layernorm,1,2048,1,142050
gate_proj,1,2048,1,56250
up_proj,1,2048,1,49120
act_fn,1,2048,1,95590
down_proj,1,2048,1,47890
final_layernorm,1,2048,1,156530
lm_head,1,2048,1,58000
