run_id,batch_size,input_lens,output_lens,n_generated,max_input_len,max_output_len,batch_e2e_ms,status
0,4,"[21, 18, 32, 5]","[338, 134, 1369, 270]","[338, 134, 1369, 270]",32,1369,20657.873,OK
1,4,"[32, 26, 33, 13]","[881, 165, 717, 161]","[881, 165, 717, 161]",33,881,13340.196,OK
2,4,"[32, 12, 40, 56]","[682, 236, 1046, 628]","[682, 236, 1046, 628]",56,1046,15917.958,OK
3,4,"[44, 31, 28, 32]","[429, 257, 1260, 1686]","[429, 257, 1260, 1686]",44,1686,25764.253,OK
4,4,"[47, 31, 21, 23]","[1170, 519, 1266, 1321]","[1170, 519, 1266, 1321]",47,1321,20403.571,OK
5,4,"[13, 8, 34, 29]","[220, 189, 430, 974]","[220, 189, 430, 974]",34,974,14714.088,OK
6,4,"[27, 34, 32, 27]","[465, 453, 306, 1624]","[465, 453, 306, 1624]",34,1624,24633.573,OK
7,4,"[6, 64, 17, 22]","[1254, 907, 1173, 1203]","[1254, 907, 1173, 1203]",64,1254,19402.221,OK
8,4,"[41, 44, 17, 6]","[891, 452, 667, 190]","[891, 452, 667, 190]",44,891,13579.876,OK
9,4,"[32, 55, 17, 56]","[826, 1972, 810, 440]","[826, 1972, 810, 440]",56,1972,30094.414,OK
10,4,"[17, 26, 17, 56]","[379, 191, 724, 1172]","[379, 191, 724, 1172]",56,1172,17808.768,OK
11,4,"[28, 33, 19, 16]","[604, 166, 941, 542]","[604, 166, 941, 542]",33,941,14322.67,OK
12,4,"[25, 38, 30, 8]","[751, 1271, 172, 1345]","[751, 1271, 172, 1345]",38,1345,20652.105,OK
13,4,"[15, 37, 13, 42]","[186, 382, 420, 619]","[186, 382, 420, 619]",42,619,9396.455,OK
14,4,"[32, 27, 21, 37]","[863, 403, 1277, 973]","[863, 403, 1277, 973]",37,1277,19575.407,OK
15,4,"[28, 17, 22, 22]","[1266, 435, 220, 794]","[1266, 435, 220, 794]",28,1266,19260.975,OK
16,4,"[41, 7, 10, 19]","[761, 807, 339, 1429]","[761, 807, 339, 1429]",41,1429,21817.812,OK
17,4,"[16, 42, 7, 45]","[496, 284, 390, 656]","[496, 284, 390, 656]",45,656,10190.019,OK
18,4,"[27, 33, 23, 11]","[1705, 443, 313, 1136]","[1705, 443, 313, 1136]",33,1705,25993.875,OK
19,4,"[45, 67, 31, 48]","[1907, 391, 969, 671]","[1907, 391, 969, 671]",67,1907,29082.55,OK
20,4,"[29, 33, 38, 28]","[1494, 1238, 423, 403]","[1494, 1238, 423, 403]",38,1494,22843.584,OK
21,4,"[20, 10, 22, 18]","[146, 420, 219, 472]","[146, 420, 219, 472]",22,472,7175.057,OK
22,4,"[23, 14, 64, 44]","[1038, 1820, 584, 623]","[1038, 1820, 584, 623]",64,1820,27838.21,OK
23,4,"[31, 29, 26, 47]","[1020, 213, 674, 1196]","[1020, 213, 674, 1196]",47,1196,18296.269,OK
24,4,"[20, 55, 25, 33]","[729, 1658, 654, 1115]","[729, 1658, 654, 1115]",55,1658,25386.483,OK
25,4,"[9, 28, 20, 41]","[1074, 182, 141, 969]","[1074, 182, 141, 969]",41,1074,16319.606,OK
26,4,"[9, 45, 27, 18]","[1171, 719, 504, 306]","[1171, 719, 504, 306]",45,1171,17780.202,OK
27,4,"[61, 35, 62, 11]","[1309, 712, 498, 374]","[1309, 712, 498, 374]",62,1309,19880.464,OK
28,4,"[12, 18, 35, 25]","[209, 187, 499, 141]","[209, 187, 499, 141]",35,499,7499.607,OK
29,4,"[16, 35, 44, 7]","[238, 446, 569, 993]","[238, 446, 569, 993]",44,993,15025.401,OK
30,4,"[33, 29, 44, 32]","[449, 1047, 658, 411]","[449, 1047, 658, 411]",44,1047,15894.627,OK
31,4,"[27, 60, 48, 33]","[587, 753, 590, 952]","[587, 753, 590, 952]",60,952,14553.364,OK
32,4,"[20, 24, 10, 34]","[230, 894, 617, 1252]","[230, 894, 617, 1252]",34,1252,19074.266,OK
33,4,"[17, 29, 47, 43]","[1104, 685, 1210, 134]","[1104, 685, 1210, 134]",47,1210,18510.267,OK
34,4,"[31, 25, 42, 33]","[1488, 1658, 536, 267]","[1488, 1658, 536, 267]",42,1658,25387.556,OK
35,4,"[15, 39, 75, 37]","[209, 395, 187, 361]","[209, 395, 187, 361]",75,395,6000.938,OK
36,4,"[8, 29, 26, 43]","[276, 1125, 482, 707]","[276, 1125, 482, 707]",43,1125,17084.007,OK
37,4,"[26, 64, 28, 55]","[416, 1638, 1515, 1176]","[416, 1638, 1515, 1176]",64,1638,25272.7,OK
38,4,"[16, 11, 25, 32]","[1625, 354, 637, 166]","[1625, 354, 637, 166]",32,1625,24636.701,OK
39,4,"[30, 65, 27, 23]","[1828, 444, 218, 1442]","[1828, 444, 218, 1442]",65,1828,28035.205,OK
40,4,"[10, 39, 28, 45]","[989, 151, 1025, 872]","[989, 151, 1025, 872]",45,1025,15770.473,OK
41,4,"[18, 24, 50, 17]","[456, 807, 800, 907]","[456, 807, 800, 907]",50,907,13985.164,OK
42,4,"[7, 42, 14, 10]","[410, 982, 412, 577]","[410, 982, 412, 577]",42,982,14963.901,OK
43,4,"[15, 53, 62, 27]","[153, 393, 149, 468]","[153, 393, 149, 468]",62,468,7066.765,OK
44,4,"[35, 33, 23, 33]","[1555, 571, 248, 941]","[1555, 571, 248, 941]",35,1555,23633.744,OK
45,4,"[9, 39, 19, 52]","[960, 883, 449, 931]","[960, 883, 449, 931]",52,960,14726.613,OK
46,4,"[34, 32, 39, 39]","[560, 640, 545, 963]","[560, 640, 545, 963]",39,963,14660.26,OK
