run_id,batch_size,input_lens,output_lens,n_generated,max_input_len,max_output_len,batch_e2e_ms,status
0,2,"[1161, 721]","[99, 85]","[99, 85]",1161,99,1570.942,OK
1,2,"[748, 881]","[65, 65]","[65, 65]",881,65,1040.184,OK
2,2,"[812, 638]","[60, 49]","[60, 49]",812,60,942.732,OK
3,2,"[1278, 618]","[88, 40]","[88, 40]",1278,88,1393.712,OK
4,2,"[441, 1310]","[30, 52]","[30, 52]",1310,52,847.448,OK
5,2,"[1417, 1067]","[50, 45]","[50, 45]",1417,50,854.556,OK
6,2,"[736, 916]","[54, 55]","[54, 55]",916,55,886.981,OK
7,2,"[1042, 620]","[26, 50]","[26, 50]",1042,50,786.022,OK
8,2,"[815, 386]","[64, 55]","[64, 55]",815,64,988.923,OK
9,2,"[294, 640]","[83, 69]","[83, 69]",640,83,1264.243,OK
10,2,"[786, 453]","[47, 55]","[47, 55]",786,55,869.237,OK
11,2,"[1156, 545]","[75, 65]","[75, 65]",1156,75,1199.033,OK
12,2,"[920, 1236]","[84, 92]","[84, 92]",1236,92,1483.879,OK
13,2,"[693, 402]","[79, 73]","[79, 73]",693,79,1217.167,OK
14,2,"[346, 200]","[45, 52]","[45, 52]",346,52,798.375,OK
15,2,"[893, 1049]","[103, 90]","[103, 90]",1049,103,1630.377,OK
16,2,"[845, 455]","[29, 53]","[29, 53]",845,53,834.637,OK
17,2,"[517, 1022]","[47, 90]","[47, 90]",1022,90,1409.462,OK
18,2,"[1279, 964]","[53, 50]","[53, 50]",1279,53,871.795,OK
19,2,"[766, 395]","[48, 47]","[48, 47]",766,48,747.073,OK
20,2,"[803, 847]","[50, 53]","[50, 53]",847,53,856.867,OK
21,2,"[509, 605]","[64, 42]","[64, 42]",605,64,987.381,OK
22,2,"[649, 1262]","[64, 95]","[64, 95]",1262,95,1516.305,OK
23,2,"[1087, 536]","[59, 78]","[59, 78]",1087,78,1253.02,OK
24,2,"[746, 584]","[70, 45]","[70, 45]",746,70,1090.6,OK
25,2,"[525, 831]","[95, 82]","[95, 82]",831,95,1471.278,OK
26,2,"[533, 1050]","[53, 82]","[53, 82]",1050,82,1312.46,OK
27,2,"[947, 1261]","[78, 75]","[78, 75]",1261,78,1254.913,OK
28,2,"[1575, 1042]","[75, 81]","[75, 81]",1575,81,1309.085,OK
29,2,"[1867, 710]","[41, 61]","[41, 61]",1867,61,1009.781,OK
30,2,"[654, 762]","[44, 102]","[44, 102]",762,102,1585.986,OK
31,2,"[1501, 499]","[92, 57]","[92, 57]",1501,92,1456.517,OK
32,2,"[1095, 991]","[76, 52]","[76, 52]",1095,76,1222.005,OK
33,2,"[704, 386]","[67, 55]","[67, 55]",704,67,1031.273,OK
34,2,"[416, 688]","[79, 82]","[79, 82]",688,82,1278.371,OK
35,2,"[1308, 623]","[114, 65]","[114, 65]",1308,114,1796.144,OK
36,2,"[1171, 1159]","[73, 46]","[73, 46]",1171,73,1194.573,OK
37,2,"[557, 1075]","[79, 68]","[79, 68]",1075,79,1253.62,OK
38,2,"[895, 948]","[360, 95]","[360, 95]",948,360,5476.855,OK
39,2,"[1639, 326]","[108, 63]","[108, 63]",1639,108,1696.405,OK
40,2,"[1827, 730]","[54, 57]","[54, 57]",1827,57,951.986,OK
41,2,"[1050, 654]","[60, 52]","[60, 52]",1050,60,920.073,OK
42,2,"[413, 1059]","[38, 68]","[38, 68]",1059,68,1091.471,OK
43,2,"[554, 1682]","[64, 55]","[64, 55]",1682,64,1032.272,OK
44,2,"[578, 677]","[53, 39]","[53, 39]",677,53,831.244,OK
45,2,"[849, 429]","[93, 51]","[93, 51]",849,93,1427.248,OK
46,2,"[460, 438]","[25, 66]","[25, 66]",460,66,1013.129,OK
47,2,"[873, 860]","[63, 67]","[63, 67]",873,67,1071.669,OK
48,2,"[1099, 977]","[96, 55]","[96, 55]",1099,96,1519.84,OK
49,2,"[1526, 873]","[63, 46]","[63, 46]",1526,63,1009.186,OK
