id,input_len,output_len,status,ttft_ms,tpot_ms,e2e_ms,decode_throughput_tps,n_generated,error
0,253,205,OK,14.584,10.39,2134.084,96.72,205,
1,6,155,OK,11.348,10.344,1604.253,97.31,155,
2,6,89,OK,11.299,10.342,921.364,97.8,89,
3,19,200,OK,11.307,10.352,2071.348,97.09,200,
4,1,17,OK,11.297,10.331,176.597,102.84,17,
5,26,303,OK,11.17,10.363,3140.919,96.81,303,
6,10,232,OK,11.391,10.355,2403.413,96.99,232,
7,9,153,OK,11.404,10.347,1584.132,97.28,153,
8,1485,148,OK,77.542,10.59,1634.299,95.07,148,
9,1,126,OK,11.354,10.339,1303.76,97.49,126,
10,800,172,OK,39.824,10.468,1829.831,96.09,172,
11,491,249,OK,21.571,10.443,2611.529,96.14,249,
12,12,753,OK,11.406,10.396,7829.118,96.32,753,
13,21,335,OK,11.433,10.36,3471.684,96.81,335,
14,9,360,OK,11.419,10.361,3730.959,96.79,360,
15,6,93,OK,11.392,10.338,962.527,97.78,93,
16,18,90,OK,11.276,10.34,931.566,97.8,90,
17,18,544,OK,11.182,10.38,5647.361,96.52,544,
18,26,563,OK,11.361,10.382,5845.969,96.49,563,
19,11,464,OK,11.503,10.368,4812.114,96.65,464,
20,34,752,OK,11.447,10.4,7821.583,96.29,752,
21,60,138,OK,11.505,10.351,1429.575,97.32,138,
22,36,829,OK,11.398,10.404,8626.071,96.23,829,
23,45,289,OK,11.455,10.355,2993.835,96.9,289,
24,158,620,OK,14.436,10.41,6458.377,96.21,620,
25,82,1025,OK,12.19,10.431,10693.046,95.97,1025,
26,6,68,OK,11.544,10.332,703.816,98.23,68,
27,19,347,OK,11.226,10.359,3595.544,96.81,347,
28,29,317,OK,11.293,10.343,3279.58,96.99,317,
29,23,487,OK,11.276,10.346,5039.537,96.85,487,
30,30,600,OK,11.338,10.36,6217.272,96.68,600,
31,25,299,OK,11.325,10.331,3089.941,97.12,299,
32,7,373,OK,11.286,10.333,3855.321,97.03,373,
33,141,191,OK,14.392,10.339,1978.844,97.23,191,
34,45,469,OK,11.326,10.349,4854.759,96.83,469,
35,24,211,OK,11.328,10.322,2178.906,97.34,211,
36,14,346,OK,11.371,10.399,3598.951,96.44,346,
37,7,340,OK,11.415,10.409,3540.082,96.35,340,
38,66,138,OK,12.144,10.401,1437.147,96.84,138,
39,10,370,OK,11.358,10.414,3854.095,96.29,370,
40,1239,489,OK,76.152,10.617,5257.38,94.38,489,
41,102,124,OK,12.212,10.407,1292.312,96.87,124,
42,393,85,OK,21.459,10.45,899.282,96.83,85,
43,8,963,OK,11.359,10.465,10078.653,95.66,963,
44,6,299,OK,11.457,10.409,3113.277,96.4,299,
45,1392,388,OK,76.911,10.637,4193.444,94.25,388,
46,271,178,OK,21.253,10.44,1869.163,96.33,178,
47,224,192,OK,14.577,10.432,2007.092,96.36,192,
48,3,131,OK,11.412,10.392,1362.42,96.96,131,
49,94,691,OK,12.112,10.458,7227.949,95.76,691,
