time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,n_embd,n_q_head,n_kv_head,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.9325300002274162,20.550638000258914,1.937404799991782,0.9523799999442417,4.270249250840594,,,,,,2048,32,8,1,131072,1,32,0,True,FLASH_ATTENTION
0.9302290000050562,115.65681899992342,6.710760300029506,0.9594699999979639,24.994018269583748,,,,,,2048,32,8,1,131072,1,32,32,True,FLASH_ATTENTION
0.957909999669937,160.9653549999166,8.99098725001295,0.9751049999522365,34.86536613320314,,,,,,2048,32,8,1,131072,1,32,64,True,FLASH_ATTENTION
0.9483099997851241,166.92076499975883,9.282930549989032,0.9686299999884795,36.16464637321155,,,,,,2048,32,8,1,131072,1,32,96,True,FLASH_ATTENTION
0.9506309997959761,166.7139149999457,9.282752200033428,0.9832744999584975,36.117239949691445,,,,,,2048,32,8,1,131072,1,32,128,True,FLASH_ATTENTION
0.951470000018162,177.8983839999455,9.8314367000512,0.9673499998825719,38.5572629028118,,,,,,2048,32,8,1,131072,1,32,160,True,FLASH_ATTENTION
0.9456600000703475,193.48168299984536,10.605385050007499,0.9686700000202109,41.95474048086187,,,,,,2048,32,8,1,131072,1,32,192,True,FLASH_ATTENTION
0.9490490001553553,190.18419199983327,10.439975850044902,0.9615395001674187,41.23618916695106,,,,,,2048,32,8,1,131072,1,32,224,True,FLASH_ATTENTION
0.9506200003670529,171.43455499990523,9.50920820000647,0.9649549999721785,37.14829249767345,,,,,,2048,32,8,1,131072,1,32,256,True,FLASH_ATTENTION
0.9454300002289528,245.07113799973013,13.195908249963395,0.9805544998471305,53.195867655258354,,,,,,2048,32,8,1,131072,1,32,288,True,FLASH_ATTENTION
0.9493000002294139,241.55728799996723,13.023191749994112,0.9858900002654991,52.4293601363566,,,,,,2048,32,8,1,131072,1,32,320,True,FLASH_ATTENTION
